id,time,director,year,star1,star2,star3,star4,star5,star6,rotten_tomatoes,audience_rating,review1,review2,review3,review4,review5
11,1 hr. 42 min.,Sam Peckinpah,1983,John Hurt,Burt Lancaster,Rutger Hauer,Craig T. Nelson,Dennis Hopper,Chris Sarandon,43,39,"I don't demand that all movies make sense. I sometimes enjoy movies that make no sense whatsoever, if that's their intention. But a thriller is supposed to hold together in some sort of logical way, isn't it?","Some individual sequences -- including a car chase early in the film - have the lunatic humor that might have made the rest of the film bearable, though probably nothing would justify the film's final blood bath.","The structure is a mess (the film was recut against Peckinpah's wishes), which ultimately makes it difficult to tell whether its oddly compelling qualities are the result of a coherent artistic strategy or the cynical carelessness of a director sidelined.",,
12,2 hr. 7 min.,Martin Campbell,2003,Angelina Jolie,Clive Owen,Teri Polo,Linus Roache,Noah Emmerich,Yorick van Wageninge...,14,73,"It all becomes little more than feel-good-about- feeling-bad window dressing, like an issue of Utne Reader in Dolby Surround Sound.",... an old-fashioned romance.,"An unconvincing melodrama that seems more interested in pushing an agenda and preaching than in developing legitimate, compelling characters.",A melodrama with pretensions to humanitarian generosity.,Important issues buried in soap opera silliness.
13,1 hr. 23 min.,Mark L. Lester,2003,Jenya Lano,Daniel Baldwin,Coolio,Jenya Leno,Alex McArthur,Darrell Dubovsky,0,23,,,,,
14,1 hr. 45 min.,Peter Berg,2003,"Dwayne ""The Rock"" Jo...",Seann William Scott,Rosario Dawson,Christopher Walken,Ewen Bremner,Jon Gries,71,66,Mildly entertaining action movie with The Rock.,A lot of fun and just a balls to the wall guy action flick...,I think you can smell what the Rock is cooking: a dish that'll fatten your head but pleasantly plump your gut. [Blu-ray],Sounds worse the more you talk about it.,"If, like me, you dismissed The Rundown as just another stupid action vehicle for Dwayne ""The Rock"" Johnson - get in the apology line behind me"
15,1 hr. 33 min.,Vic Morrow,1971,James Garner,Dennis Weaver,Claude Akins,John Marley,Laura Antonelli,Wayde Preston,0,55,,"Gets the violence part right, but there's not much else to the tired plot line.",A slapdash affair cobbled together to cash in on the Leone/Eastwood sensation of the late 1960's.,,
16,1 hr. 36 min.,John Evans,1974,Rod Perry,John Alderman,Ernie Banks,Ken Bell,Ricardo Brown,Tony Burton,0,15,,,,,
17,1 hr. 34 min.,Darrell Roodt,1993,Patrick Swayze,Halle Berry,Sabrina Lloyd,Brian Bonsall,Michael Ironside,Diane Ladd,11,35,"Most of the characters may be trapped in programmed spontaneity, but you can get a real lift out of the landscapes, the crisp sunlight splayed over gas stations and billboards, and the cannonade of '50s and '60s rock oldies.","Father Hood isn't so much undemanding as vapid, disjointed rather than antic. And if this film is a romp, then so is bearbaiting.","Despite its best intentions, Father Hood is destined to become leftovers in the video store.","It does suggest, ultimately, that if more wards of the state would run off to join their fathers on cross-country crime sprees, we could lick these corrupt foster-care and inattentive-dad problems.",The movie develops a hopelessly split personality.
18,1 hr. 13 min.,Roger Corman,1955,Carole Mathews,Beverly Garland,Marie Windsor,Jil Jarmyn,Jill Jarmyn,Mike Connors,0,6,,,,,
19,1 hr. 28 min.,Chuan Yang,1978,Chang Lei,Chang Wu Lang,Bruce Li,Bolo Yeung,Dana Lei,Chang Leih,0,25,,,,,
20,1 hr. 30 min.,Joe Viola,1971,Scott Glenn,Sharon Peckinpah,Charles Dierkop,Gilda Texter,James Iglehart,Gary Littlejohn,0,24,,,,,
21,1 hr. 51 min.,Quentin Tarantino,2003,Uma Thurman,Lucy Liu,Vivica A. Fox,David Carradine,Daryl Hannah,Michael Madsen,85,80,"A strange, fun and densely textured work that gets better as it goes along.","Even more gory and adolescent than its models, which explains both the fun and the unpleasantness of this globe-trotting romp.","It's all bang, bang; no kiss, kiss. But this is still bravura film-making from a prodigious talent, and Thurman may yet prove its saving grace.","There is no ironic overlay in Tarantino's movies, no 'commenting' on the pop schlock he's replicating. He simply wants to remake in his own way the kinds of movies he's always loved, and he's about as uncynical as a movie geek can be.","Visually striking, but also very violent."
22,1 hr. 56 min.,Richard Donner,2003,Paul Walker,Frances O'Connor,Gerard Butler,Billy Connolly,David Thewlis,Anna Friel,12,45,"This big-budget adventure is based on a recent Michael Crichton thriller, though its premise is too stale to instill the sense of wonder critical to great sci-fi.","Yet another case of making time travel a messy ordeal rather than a load of fun, Timeline lacks the consistent tone, pace and point of view for either a science fiction thriller or medieval war adventure.",Weakly entertaining Middle Ages fantasy.,A competent cast keeps this eccentric time travel movie (based on a Michael Crichton novel) amusing if far from successful.,Timeline takes the most ridiculous movie plot ever and multiplies it by ten.
23,1 hr. 35 min.,Jack Perez,2004,Susan Ward,Leila Arcieri,Isaiah Washington,Katie Stuart,Joe Michael Burke,Brett Gilbert,0,22,Dreary sequel full of sex and violence.,Its title all the warning any kind of reasonably actualized human being would need to avoid it.,,,
24,1 hr. 15 min.,Harry Fraser,1937,Lane Chandler,Earle Hodgins,Earl Hodgins,Bruce Warren,Ruth Findlay,Roger Williams,0,0,,,,,
25,1 hr. 34 min.,Steve Anderson (V),2003,Jon Favreau,Joey Lauren Adams,Rachael Leigh Cook,Bud Cort,Daryl Hannah,Kelsey Grammer,71,47,"The Big Empty is much more a romantic fable than Swingers, the singles comedy that established Favreau but has a similarly jovial, unpretentious charm.",More amiable than laugh-out-loud funny.,I found the sicko humor enjoyable enough.,"If any film is destined to find a cult audience on DVD, it's The Big Empty.","Thanks to Favreau, even the film's most ridiculous detours carry a certain plausibility; he shines his indignities on and perseveres, and we can't help but sympathize."
26,1 hr. 31 min.,David S. Jackson,2003,Bokeem Woodbine,Elizabeth Berkley,Randall Batinkoff,Stan Shaw,Denis Forest,John Pleshette,0,14,,,,,
27,2 hr.,Herbert Ross,1973,Richard Benjamin,Dyan Cannon,James Coburn,Joan Hackett,James Mason,Ian McShane,92,85,,,,,
28,2 hr. 55 min.,Subhash Ghai,1989,Saeed Jaffrey,Amrish Puri,Rakhee Gulzar,Paresh Rawal,Madhuri Dixit,Anil Kapoor,0,63,,,,,
29,2 hr. 17 min.,Peter Weir,2003,Russell Crowe,Paul Bettany,James D'Arcy,Edward Woodall,Max Pirkis,Jack Randall,85,80,"Thanks in no small measure to Perfect Storm designer William Sandell, this handsomely mounted actioner exudes the authentic tang of salt, sweat and gunpowder.",It never achieves the visual elegance or majesty that a David Lean might have provided. The story line isn't the freshest. And yet the film is satisfying all the same.,Intense battle scenes and a strong story of friendship.,"Peter Weir makes the Surprise a world to explore, not a splashy CGI simulation. Like a human body, the boat stays afloat through complex processes. A knockout mix of organic elegance, reflective drama and aggressive action on par with Sir David Lean.","an expansive cinematic achievement that sits well against such adventure classics as Lawrence of Arabia, and is a sure bet for fans of ocean bound drama."
30,1 hr. 58 min.,Robert Wise,1956,Jacques Sernas,Rossana PodestÃ ,Cedric Hardwicke,Nora Swinburne,Stanley Baker,Niall MacGinnis,0,54,,Tedious historical costume drama.,Bring on the wooden horse! Good spectacle directed by Robert Wise.,,
31,1 hr. 33 min.,Reginald Adamson,1992,Don Hannah,Jacinto Molina,Fred Williamson,Lisa Gaye,Jill Schoelen,Pablo Catry,0,67,,,,,
32,1 hr. 30 min.,David Cronenberg,1979,William Smith,John Saxon,Claudia Jennings,Nicholas Campbell,Don Francks,Cedric Smith,88,31,,"Even in a yee-haw drive-in flick about manly men drivin' cars, Cronenberg manages to sneak in some body-consciousness.",A sharp experiment in drive-in cinema,"There is nothing particularly memorable about Fast Company, even at the most superficial level.","Fans of well-crafted B movies, on the other hand, will be right at home."
33,3 hr. 25 min.,David Dhawan,2003,Sanjay Dutt,Govinda,Amrita Arora,Nandini Singh,Jackie Shroff,Gulshan Grover,0,59,,,,,
34,1 hr. 40 min.,James B. Clark,1969,Ted Eccles,Theodore Bikel,Tudi Wiggins,Ralph Endersby,Tom Harvey,Paul Hebert,0,55,"A slender, honest study of a boy learning to be a man his own way.","The homage to nature pic appeals to youngsters and boy adventurers, but left me yearning for a safer story for a 13-year-old boy.",An absolutely dreadful film that will appeal only to grown-ups who saw it when it was new.,Good family viewing that will delight kids and interest grown-ups as well.,
35,1 hr. 43 min.,Nicholas Ray,1951,John Wayne,Robert Ryan,Don Taylor,Janis Carter,Jay C. Flippen,William Harrigan,86,65,Marquee pull of John Wayne and Robert Ryan in the action market has been teamed with a story of Marine fighter pilots.,"This is arguably Ray's least distinguished film, a relatively conventional, anonymous WWII drama made for RKO mogul Howard Hughes.","Though John Wayne plays a similar role to that of his other WWII movies (Sands of Iwo Jima), the tough but sensitive commander, this picture is better than the rest due to smooth and crispy direction by Nicholas Ray.",Overlong but action-filled.,This is the most ordinary film Nicholas Ray ever made.
36,1 hr. 58 min.,William Wellman,1949,Van Johnson,Ricardo Montalban,John Hodiak,George Murphy,James Whitmore,Douglas Fowley,100,82,,,,"Though shot on the back lot, William Wellman's Oscar-nominated recreation of Battle of the Bulge is one of the better WWII movies, serving as blueprint for later Vietnam War films.","Sterling, memorable WWII classic directed by Wellman."
37,1 hr. 34 min.,Edward Dmytryk,1945,John Wayne,Anthony Quinn,Beulah Bondi,Fely Franquelli,Richard Loo,Philip Ahn,0,61,,,,"Wayne's paternal attitude (a father is reflected in his relationship with a boy from the Philippines, which some critics see as a testament to the American imperialistic and patronizing approach to weaker nations.",Weary wartime propaganda film with too much flag-waving.
38,1 hr. 40 min.,Jean-Pierre Melville,1955,Isabelle Corey,Daniel Cauchy,Roger Duchesne,Andre Garet,Gerard Buhr,Howard Vernon,97,90,"This light, breezy 1955 heist film is probably the least characteristic movie Jean-Pierre Melville ever made.","Lagging direction, so-so thesping and usual femme and lowdown aspects of this type production make this an ordinary entry.","A wonderful movie with all the formal beauty, finesse and treacherous allure of green baize.","Its realism is not the reality of life, but of the kind of movies that give shape to the disordered lives of the people who watch movies.",Bob le Flambeur (1955) has a good claim to be the first film of the French New Wave.
39,1 hr. 51 min.,Andy Cadiff,2004,Mandy Moore,Matthew Goode,Jeremy Piven,Annabella Sciorra,Mark Harmon,Beatrice Rosen,19,60,"Forgettable fluff but it left me in an unaccountably bad mood, mainly because it's a step back for Mandy Moore.",Moore's lip-glossed petulance never catches fire with Goode's canned drollery.,It's one TV-movie romp that Kristy McNichol never got around to starring in.,Middle school girls only need apply.,Bastou um pouco de ambiÃ§Ã£o para que este simpÃ¡tico representante do gÃªnero 'Ã¡gua-com-aÃ§Ãºcar' deixasse o similar (e ruim) A Filha do Presidente a anos-luz de distÃ¢ncia.
40,2 hr. 12 min.,Kenta Fukasaku,2003,Tatsuya Fujiwara,Ai Maeda,Natsuki Kato,ShÃ»go Oshinari,Ayana Sakai,Ai Iwamura,30,29,,"It's meant to be provocative, but it's muddled and nonsensical, with none of the liveliness or cleverness of its predecessor.","If the original film flirted with controversy, the sequel has sex with it on the first date.",A film in which the heroes are al Qaeda surrogates.,Requiem is stupid to the point of aggravation and long enough to qualify as torture under the Geneva Convention.
41,1 hr. 36 min.,Joseph Merhi,1997,Gary Daniels,Sugar Ray Leonard,Paige Rowland,Charles Napier,Dex Elliott Sanders,Dex Elliot Sanders,0,35,,,,,
42,1 hr. 33 min.,Vincent McEveety,1980,Cloris Leachman,Charles Martin Smith,John Vernon,Elyssa Davalos,Stephan W. Burns,Harvey Korman,40,37,"It's not surprising that they haven't got around to changing the plot formula, only the scenery.","A cheerful, four-cylinder children's movie, though its car jokes aren't good for much mileage.",More adventures of the lovable Volkswagen Bug.,Strictly for the young ones.,
43,1 hr. 45 min.,Vincent McEveety,1977,Dean Jones,Don Knotts,Jacques Marin,Bernard Fox,Roy Kinnear,Eric Braeden,67,57,,,,,Silly but fun French adventures of Herbie in love.
44,1 hr. 28 min.,Robert Stevenson,1974,Helen Hayes,Ken Berry,Stefanie Powers,John McIntire,Keenan Wynn,Huntz Hall,80,52,,,,"Kids will love this gentle, slapstick love bug.",Plays like an ad for Volskwagen.
45,2 hr. 34 min.,Edward Zwick,2003,Tom Cruise,Ken Watanabe,Billy Connolly,Timothy Spall,Tony Goldwyn,Shichinosuke Nakamur...,65,83,It's easy to stand back and wax ironic about The Last Samurai. But it's not all that difficult to succumb to its full-spirited romanticism either.,"Competently mounted in its studiedly immersive, elongated way, Zwick's earnest costume epic dresses a knee-jerk, reactionary sensibility in exotic garb.","The Last Samurai is an idyll in which the savageries of existence are transcended by spiritual devotion. That's a beautiful dream, and it gives the film a deep pleasingness, but the fullness of life and its blackest ambiguities are sacrificed.",does honor traditional Japanese culture and ideals and make them accessible to a wider audience,Outstanding action and performance; lots of blood.
46,1 hr. 29 min.,Toshiya Fujita,1974,Meiko Kaji,Yoshio Harada,Kazuko Toshiyuki,Shin Kishida,Juzo Itami,,0,61,"That the second film, 'Love Song,' does not match its predecessor only shows that sequels are seldom equal. It is still a good view, however.",70's Samurai action ... mixes drama and historical relevance with the mostly two-dimensional villains and wholesale slaughter that you'd expect from a good chop-sake' film.,,,
47,1 hr. 56 min.,John Irvin,1991,Patrick Bergin,Uma Thurman,Jeroen KrabbÃ©,JÃ_rgen Prochnow,Edward Fox,Owen Teale,0,46,"A passable, intermittently entertaining version of the classic saga, but the best rendition still is the 1938 Errol Flynn swashbuckling film.",,,,
48,1 hr. 31 min.,Jet Li,1986,Jet Li,Erkang Zhao,Jia Song,Kurt Roland Petterss...,Dean Harrington,Kurt Roland Petersso...,0,55,,,,,
49,1 min.,Tony Richardson,1982,Jack Nicholson,Harvey Keitel,Valerie Perrine,Warren Oates,Elpidia Carrillo,Shannon Wilcox,89,50,,,,"If you want to see Jack Nicholson give a simple, compelling performance with absolutely no hambone antics, look no further than this underrated drama.",There's nothing very memorable except for Nicholson's subdued brooding performance.
50,2 hr. 23 min.,Raaj Mukherjee,1991,Topher Grace,Elle Deets,Yuri Lowenthal,Jennifer Miller,Joseph Medrano,David Lodge,0,55,,,,,
51,1 hr. 33 min.,Phillip J. Roth,2003,Lorenzo Lamas,Simmone Mackinnon,Jeffrey Gorman,Jeffery Gorman,Bruce Gray,Ross Manarchy,0,12,,,,,
52,1 hr. 32 min.,Kirk Douglas,1975,Kirk Douglas,Bruce Dern,Bo Hopkins,James Stacy,Luke Askew,David Canary,80,52,,,,A good little Western nicely directed by Douglas.,"Passable oater directed by its star, Kirk Douglas."
53,1 hr. 30 min.,Jim Wynorski,2003,Stephen Baldwin,Nicollette Sheridan,Hannes Jaenicke,Coby Ryan McLaughlin,Mark Christopher Law...,Jerry Doyle,0,25,,,,,
54,1 hr. 30 min.,Giordano Gederlini,2002,Cyril Mourali,Mai Anh Le,Yasuaki Kurata,SaÃ¯d Serrari,Santi Sudaros,Pascal Gentil,0,13,,,,,
55,1 hr. 33 min.,Phillip J. Roth,2003,Dale Midkiff,Gregor Toerzs,Michael Ironside,Wendy Carter,Gregor Toerz,Jennifer Jostyn,0,13,,,,,
56,1 hr. 40 min.,Henry Hathaway,1954,Robert Wagner,James Mason,Janet Leigh,Debra Paget,Sterling Hayden,Victor McLaglen,0,33,,,Quite ordinary.,,
57,1 hr. 32 min.,Jay Andrews,2004,Tim Abell,Glori-Anne Gilbert,Melissa Brasselle,J.P. Davis,Gail Harris,Jay Richardson,0,24,,,,,
58,2 hr. 10 min.,Arthur Hiller,1973,Peter O'Toole,Sophia Loren,James Coco,Harry Andrews,John Castle,Brian Blessed,50,72,,,,,"Hugely disappointing musical, far inferior to stage version."
59,1 hr. 36 min.,Amir Shervan,1989,Robert Z'Dar,Matt Hannon,Jannis Farley,Mark Frazer,Melissa Moore,Joselito Rescober,0,54,,,,,
60,1 hr. 31 min.,Steven Ramirez,2003,Joe Falou,Rawiri Paratene,Kayte Ferguson,Alvin Fitisemanu,Hori Ahipene,Sima Urale,13,71,"If the narrative is unsteady, the acting is even shakier.",This exotic little New Zealand film about an outcast island boy is full of surprises that will make even the grumpiest viewer crack a smile.,"The movie's G rating, and its message that even the roughest of edges can be smoothed away to reveal a wonderful person, make for ideal family entertainment, as long as you can get past the corniness.",,Earnest but amateurish tween fairy tale set in South Seas.
61,1 hr. 40 min.,Jackie Chan,1982,Jackie Chan,Mars [m],Biao Yuen,Sidney Yim,Chen Hui Min,Hong-Yip Cheng,0,58,Not Chan's best work. No real grace or flow to action. Cheap.,,,,
62,1 hr. 33 min.,Armando Valdes-Kennedy,2003,David Keith,Simmone Mackinnon,Mark A. Sheppard,Mark Chomsky,Sean Whalen,Armando Valdes-Kenne...,0,10,,,,,
63,1 hr. 59 min.,John Woo,2003,Ben Affleck,Aaron Eckhart,Uma Thurman,Paul Giamatti,Colm Feore,Joe Morton,27,46,There's a sense of treading water about this movie.,Woo's stylish touches fall flat in this forgettable project,"This movie just sags, even in the action scenes.","It's not necessarily high brow sci-fi, but it is very accessible to the mainstream eye.",Paycheck takes two hours to watch and two minutes to forget.
64,2 hr. 21 min.,John Farrow,1956,David Niven,Cantinflas,Shirley MacLaine,Robert Newton,Charles Boyer,Joe E. Brown,74,59,"The wonder is that this Polyphemus of productions does not simply collapse of its own overweight; but, thanks principally to Showman Todd, the picture skips along with an amazing lightness.","With a smash lineup of stars in major and minor parts, Todd has turned out a surefire hit.",Proof that you can buy an Academy Award.,Is the whole thing too exhausting? It's a question of how much you can take. We not only took it but found it most amusing.,An interminable travelogue interspersed with sketches in which star-spotting affords some relief.
65,1 hr. 32 min.,Richard Pepin,1994,Chad McQueen,Gary Daniels,Jim Hellwig,Joseph Ruskin,Alisha Das,George Murdock,0,31,,,,,
66,1 hr. 42 min.,Robert Clouse,1973,Bruce Lee,John Saxon,Jim Kelly,Shih Kien,Robert Wall,Anna Capri,95,92,"Enter the Dragon is the first classy Kung Fu movie specially designed for Western audiences, and that's not to be confused with first-class.",The only real disappointment about Enter the Dragon is that it is Bruce Lee's last movie.,"If kung fu is now the standard badass language, Enter the Dragon -- featuring Lee's great slow-burn stare -- is the first grammar lesson.",Rising popularity of the Chinese martial arts as screen entertainment climaxes in fine crescendo in this violence-drenched actioner.,"Ripping entertainment overall, with just enough meat for amateur sociologists."
67,1 hr. 30 min.,Kimiyoshi Yasuda,1967,ShintarÃ´ Katsu,Shiho Fujimura,Yoshihiko Aoyama,EijirÃ´ Tono,,,0,82,,,,,
68,1 hr. 21 min.,Joseph Kahn,2004,Martin Henderson,Ice Cube,Monet Mazur,Matt Schulze,Jay Hernandez,Will Yun Lee,23,41,"Thankfully, Torque knows what it wants to be ... and flashes a jocular self-awareness about its genre affiliation.","Silly and violent, mostly comprised of stunts.",A low grade really bad action flick without a single brain cell in its head...,"If you want to see Matrix on bikes, Torque is the stuff. Just as long as you don't want any of that... what do they call it? Acting or something?",Torque is so awful it would have embarrassed Roger Corman forty years ago.
69,3 hr. 12 min.,Lawrence Kasdan,1994,Kevin Costner,Dennis Quaid,Gene Hackman,Michael Madsen,David Andrews,Linden Ashby,42,62,,,"Though handsome to look at (cinematography is by Owen Roizman), the movie is overlong, stately, and too detailed for its own good; director Kasdan claims his version if more accurate, which may be true, but it doesn't make for a good picture.","A great Western that was unfairly disparaged back in 1994. The authentic Wyatt Earp is actually a much-better film than the pulpier, more-popular Tombstone.","Costner's still shouting, but it's hard to hear him from all the way back there in 1940."
70,1 hr. 23 min.,Tokuzo Tanaka,1966,ShintarÃ´ Katsu,Shigeru Amachi,Mayumi Ogawa,Kei Sato,Jun Hamamura,,0,50,,,,,
71,1 hr. 27 min.,Kenji Misumi,1965,ShintarÃ´ Katsu,Mikio Narita,Chizu Hayashi,Kaneko Iwasaki,Gaku Yamamoto,,0,73,,,,,
72,1 hr. 48 min.,Dick Powell,1958,Robert Mitchum,Robert Wagner,May Britt,Richard Egan,Lee Philips,John Gabriel,0,45,Standard issue Korean War drama.,,,,
73,1 hr. 42 min.,Robert Bresson,1957,FranÃ§ois Leterrier,Roland Monod,Jacques Ertaud,Roger Planchon,Charles LeClainche,Maurice Beerblock,100,94,"It is Bresson's unadorned, almost ascetic style that lifts the tale beyond a genre piece.","A Man Escaped masterfully constructs the spaces -- physical and mental -- inhabited by Lt. Fontaine (played in a low-key register by an untrained actor, FranÃ§ois Leterrier).","The prisoner's lonely ardor is enhanced by Mozart's Mass in C Minor; the ending of the movie, as the music wells up, is pure elation.","The best of all prison-escape movies, it reconstructs the very notion of freedom through offscreen sounds and defines salvation in terms of painstakingly patient and meticulous effort.",Even the title dispenses with unnecessary frills: A man escaped. What more do you need to know?
74,1 hr. 38 min.,Dick Powell,1957,Robert Mitchum,Curd JÃ_rgens,David Hedison,Theodore Bikel,Russell Collins,Kurt Kreuger,80,87,,,,,"This WWII drama, centering on the suspenseful warfare between rival sumarine officers, German (Curt Jurgens) and American (Robert Mitchum, deservedly won the Special Effects Oscar."
75,1 hr. 30 min.,Don O'Melveny,1997,Traci Lords,Jeff Fahey,Jack Kerrigan,Brian Bloom,Maria Diaz,Natalie Karp,0,20,,,,,
76,2 hr. 49 min.,Feroz Khan,1986,Feroz Khan,Anil Kapoor,Dimple Kapadia,Amrish Puri,,,0,64,,,,,
77,1 hr. 35 min.,Damian Nieman,2003,Gabriel Byrne,Thandie Newton,Sylvester Stallone,Melanie Griffith,Stuart Townsend,Jamie Foxx,67,59,"Card sharks and grifters look like the stuff of an engrossing movie in Shade, but, in the end, under-realized direction and characters deliver less than a full deck.","A failure on every conceivable level -- from its trite, pedestrian dialogue to its static, torturous pacing.","Loaded with dizzying cons and betrayals, it pays off with a satisfying and unpredictable finish.","Through some mystery of connection and financing that involves producer Merv Griffin, many worthy players are degraded by Nieman's amateur stylings.",A dramatic thriller with a large cast playing the hell out of some very juicy roles.
78,1 hr. 30 min.,Fernando DurÃ¡n,2004,"Alfredo ""El Turco"" G...",Diana Ferreti,Fernando Saenz,Alicia Encinas,Jorge Aldama,Gibran Gonzalez,0,0,,,,,
79,1 hr. 35 min.,Gordon Parks,1974,Ron Leibman,David Selby,Sheila Frazier,Sheila E. Frazier,Pat Hingle,Dan Frazer,0,63,Wacky fact based crime story.,It's a one of a kind absolutely wacky cop film and one that may never be topped again.,,,
80,1 hr. 35 min.,Toru Murakawa,1995,TÃ´ru Nakamura,Chad McQueen,Andreas Katsulas,Mira Sorvino,Conan Lee,Tony Sirico,0,33,,,,,
81,1 hr. 30 min.,Henri Charr,1997,David Leisure,Debby Boone,John Savage,Ted Jan Roberts (II),Ryan J. O'Neill,Don 'The Dragon' Wil...,0,17,,,,,
82,1 hr. 40 min.,George McCowan,1972,Lee Van Cleef,Michael Callan,Stefanie Powers,Luke Askew,Pedro ArmendÃ¡riz Jr.,Mariette Hartley,0,26,,,,,
83,1 hr. 51 min.,Robert Culp,2000,Michael Moriarty,James Woods,Robert Culp,Bill Cosby,Rosalind Cash,Sheila Sullivan,60,59,"Hickey and Boggs"""" is not involved in a story or with characters really worthy of a full theatrical treatment.""",Suffers through audience never being entirely certain as to the identity of some of the characters.,"This was Culp's only venture into movie directing, and he handles the assignment well, and he and Cosby are both credible in their roles.","Walter Hill wrote this tough, uncompromising story of two down-on-their-luck private eyes. Marks a career high for both stars of TV's I Spy. Another of those overlooked 1970s gems that's ripe for rediscovery.","Not a pretty story, but it should bring a smile to Peckinpah."
84,2 hr. 39 min.,Feroz Khan,1975,Premnath,Feroz Khan,Hema Malini,Rekha,,,0,71,,,,,
85,2 hr. 18 min.,Feroz Khan,1980,Feroz Khan,Vinod Khanna,Amjad Khan,Zeenat Aman,Kader Khan,Tun Tun,0,85,,,,,
86,3 hr. 21 min.,Peter Jackson,2003,Elijah Wood,Sean Astin,Ian McKellen,Andy Serkis,Viggo Mortensen,Orlando Bloom,95,86,"With The Lord of the Rings: The Return of the King, Peter Jackson delivers a decent ending to his fantasy trilogy -- actually, about 12 endings.","The Return Of The King ultimately proves up to the series' increasingly difficult task: making movies that echo legends, making legends that reflect life, and reconciling it all with the fact that both legends and lives all eventually meet their ends.","Yes, the running time is long, and yes, those many endings in a slow, dreamy coda left me feeling spent -- better spent than I can ever remember.",This is the crowning glory -- a cinematic feat that satisfies at every level.,"Satisfyingly, Astin's Sam grows the most here, coming into his heroic own. His big eyes, gazing adoringly and beseechingly at the tormented Frodo, speak volumes about loyalty and bravery."
87,1 hr. 36 min.,Krishna Shah,1978,Rex Harrison,Zenat Aman,Sylvia Miles,John Saxon,Zeenat Aman,Dharmendra,0,25,,,,,
88,1 hr. 30 min.,Jorge Reynoso,2003,"Alfredo ""El Turco"" G...","Emilio ""El Alteno"" F...",Amador Granados,David Fuentes,Carmen Molero Arturo,Glez Pulido,0,0,,,,,
89,1 hr. 49 min.,Vincent Ward,1992,Jason Scott Lee,Anne Parillaud,Robert Joamie,Annie Galipeau,Patrick Bergin,John Cusack,80,81,"Even by Mr. Ward's own high standards in the area of idiosyncrasy, this is a daringly peculiar tale.","The best movies seem to reinvent themselves as they move along, not drawing from worn-out sources, and Map of the Human Heart is one of the year's best films.",A film of incantatory intensity and moment by a prodigiously gifted young filmmaker.,"Despite its historical surrounding and a few stabs at thematic depth, Map of the Human Heart has all the flavor and plot complexity of a Harlequin romance.",
